帧ID 时间戳 目标ID 距离 角度 速度
2165 1695523810.944098 62 46.5 5.7 -6.73
2166 1695523811.148858 2 152.9 -7.7 -6.7
2167 1695523811.148858 12 27.2 0.4 -0.14
2168 1695523811.148858 14 121.6 4.9 -6.72
2169 1695523811.148858 16 22.1 -18.9 -6.48
2170 1695523811.148858 17 8.6 -48.2 -5.21
2171 1695523811.148858 18 30.2 -14.7 -6.58
2172 1695523811.148858 24 135.1 -5.6 -6.73
2173 1695523811.148858 25 75.8 2.6 -6.75
2174 1695523811.148858 27 33.9 9.1 -6.64
2175 1695523811.148858 33 11.3 35.4 -5.34
2176 1695523811.148858 34 98.9 2.8 -6.75
2177 1695523811.148858 37 114.1 -0.4 -6.76
2178 1695523811.148858 38 49.8 -11.3 -6.68
2179 1695523811.148858 39 84.8 -1.9 -6.76
2180 1695523811.148858 40 14.5 40.6 -4.89
2181 1695523811.148858 41 35.6 -12.9 -6.67
2182 1695523811.148858 42 27 13.2 -6.62
2183 1695523811.148858 43 59 -9 -0.6
2184 1695523811.148858 44 16.4 21.9 -6.16
2185 1695523811.148858 45 17.7 20.6 -6.32
2186 1695523811.148858 46 161.6 -7.1 -6.73
2187 1695523811.148858 47 85.7 6 -6.72
2188 1695523811.148858 50 147.4 -5.2 -6.75
2189 1695523811.148858 54 134.3 -6.4 -6.78
2190 1695523811.148858 56 13.9 -28.3 -6.05
2191 1695523811.148858 58 81.2 4.4 -6.69
2192 1695523811.148858 61 152.8 -3.7 -6.74
2193 1695523811.148858 62 45.1 6.1 -6.71
2194 1695523811.148858 63 121.3 -6.1 -6.73
2195 1695523811.350151 0 44.1 -11.9 -6.66
2196 1695523811.350151 3 37 -6.5 -6.55
2197 1695523811.350151 5 84.9 3.1 -6.71
2198 1695523811.350151 7 80.6 3.9 -6.66
2199 1695523811.350151 10 106.3 1.5 -6.71
2200 1695523811.350151 11 39.2 -6.6 -6.6
2201 1695523811.350151 12 27.1 0.8 -0.13
2202 1695523811.350151 16 20.4 -20 -6.42
2203 1695523811.350151 20 152 -7 -6.67
2204 1695523811.350151 24 133.9 -5.5 -6.72
2205 1695523811.350151 27 25.8 12.1 -6.59
2206 1695523811.350151 32 20.9 15.4 -6.43
2207 1695523811.350151 33 10 42.6 -4.82
2208 1695523811.350151 34 97.2 2.9 -6.73
2209 1695523811.350151 35 37 2.9 -6.55
2210 1695523811.350151 37 112.1 -0.3 -6.74
2211 1695523811.350151 38 47.6 -11.2 -6.65
2212 1695523811.350151 39 83.6 -1.8 -6.73
2213 1695523811.350151 40 13.4 44.7 -4.69
2214 1695523811.350151 41 33.4 -13.7 -6.64
2215 1695523811.350151 43 58.9 -9.1 -0.59
2216 1695523811.350151 44 15 25.6 -6.1
2217 1695523811.350151 46 160.2 -7.1 -6.72
2218 1695523811.350151 47 84.5 6.1 -6.71
2219 1695523811.350151 50 145.9 -5.5 -6.74
2220 1695523811.350151 56 12 -34.4 -5.83
2221 1695523811.350151 57 37 -1.8 -6.55
2222 1695523811.350151 61 151.4 -3.6 -6.73
2223 1695523811.350151 62 43.7 6.6 -6.7
2224 1695523811.552112 2 123.8 -4.1 -6.67
2225 1695523811.552112 7 78.7 4.2 -6.7
2226 1695523811.552112 12 27.2 0.5 -0.13
2227 1695523811.552112 13 165.3 -5.4 -6.68
2228 1695523811.552112 16 18.8 -22.4 -6.38
2229 1695523811.552112 21 104.7 1.6 -6.7
2230 1695523811.552112 22 101.2 -3.6 -6.7
2231 1695523811.552112 24 132.7 -5.8 -6.7
2232 1695523811.552112 27 24.6 13.2 -6.59
2233 1695523811.552112 29 18.8 29.4 -5.88
2234 1695523811.552112 33 9 50.4 -4.84
2235 1695523811.552112 34 95.9 2.9 -6.71
2236 1695523811.552112 35 35.6 6.6 -6.61
2237 1695523811.552112 36 27.4 -16.4 -6.52
2238 1695523811.552112 37 110.9 -0.4 -6.73
2239 1695523811.552112 38 45.6 -11.8 -6.62
2240 1695523811.552112 39 82.4 -1.9 -6.72
2241 1695523811.552112 41 31.5 -14.1 -6.6
2242 1695523811.552112 43 58.8 -9.2 -0.58
2243 1695523811.552112 44 13.7 31.6 -6.04
2244 1695523811.552112 45 14 41.8 -4.87
2245 1695523811.552112 46 158.8 -7.2 -6.7
2246 1695523811.552112 47 83.3 5.9 -6.7
2247 1695523811.552112 48 20.4 16 -6.37
2248 1695523811.552112 49 42.5 27.2 -6.3
2249 1695523811.552112 50 144.3 -5.7 -6.72
2250 1695523811.552112 52 83.7 1.9 -6.66
2251 1695523811.552112 56 10.6 -38.4 -5.61
2252 1695523811.552112 61 150.1 -3.7 -6.73
2253 1695523811.552112 62 42.3 7.6 -6.67
2254 1695523811.756956 6 168.6 -7.6 -6.64
2255 1695523811.756956 7 77.5 4 -6.7
2256 1695523811.756956 12 27.2 0.2 -0.13
2257 1695523811.756956 13 164 -5.4 -6.69
2258 1695523811.756956 14 38.9 2.8 -6.6
2259 1695523811.756956 16 16.8 -24.4 -6.3
2260 1695523811.756956 23 89.7 4 -6.65
2261 1695523811.756956 24 130.6 -5.7 -6.7
2262 1695523811.756956 27 23.4 14.3 -6.57
2263 1695523811.756956 28 103.6 2 -6.66
2264 1695523811.756956 34 94.5 2.8 -6.7
2265 1695523811.756956 35 33.8 7.7 -6.61
2266 1695523811.756956 37 109.7 -0.4 -6.72
2267 1695523811.756956 38 43.4 -12.1 -6.6
2268 1695523811.756956 39 81.1 -1.7 -6.7
2269 1695523811.756956 41 29.3 -15.6 -6.55
2270 1695523811.756956 42 46.7 -25.3 -77.64
2271 1695523811.756956 43 58.7 -9.4 -0.57
2272 1695523811.756956 44 12.6 33.9 -5.96
2273 1695523811.756956 45 12.5 38.1 -4.85
2274 1695523811.756956 46 157.4 -7.1 -6.69
2275 1695523811.756956 47 82 5.9 -6.7
2276 1695523811.756956 48 19.1 21 -6.27
2277 1695523811.756956 50 142.9 -6.6 -6.7
2278 1695523811.756956 56 9.5 -45.5 -5.42
2279 1695523811.756956 59 54.1 -12.2 -6.61
2280 1695523811.756956 62 40.9 7.5 -6.64
2281 1695523811.756956 63 38.9 -12.9 -6.61
2282 1695523811.958334 1 99.8 -3.7 -6.66
2283 1695523811.958334 3 19.1 28.5 -5.85
2284 1695523811.958334 4 120.4 4.1 -6.64
2285 1695523811.958334 6 167.2 -7.3 -6.65
2286 1695523811.958334 7 76 4.3 -6.68
2287 1695523811.958334 8 81.5 6.5 -6.66
2288 1695523811.958334 9 10.5 -33.2 -5.61
2289 1695523811.958334 12 27.2 -0.2 -0.13
2290 1695523811.958334 16 15.1 -26.6 -6.19
2291 1695523811.958334 19 76.2 1.9 -6.64
2292 1695523811.958334 20 106.8 1.4 -6.66
2293 1695523811.958334 27 21.5 16.2 -6.46
2294 1695523811.958334 30 129.3 -5.9 -6.64
2295 1695523811.958334 31 14 26.6 -5.91
2296 1695523811.958334 34 93.3 2.8 -6.7
2297 1695523811.958334 35 32.1 8.3 -6.59
2298 1695523811.958334 37 108.5 -0.4 -6.7
2299 1695523811.958334 38 41.2 -13 -6.59
2300 1695523811.958334 39 79.9 -1.9 -6.69
2301 1695523811.958334 40 148.3 -5.9 -6.64
2302 1695523811.958334 41 27.1 -16.4 -6.49
2303 1695523811.958334 43 58.6 -9.4 -0.57
2304 1695523811.958334 44 11.4 40.4 -5.26
2305 1695523811.958334 45 11.7 47.8 -5.01
2306 1695523811.958334 46 155.2 -7.1 -6.67
2307 1695523811.958334 50 141.6 -7.2 -6.69
2308 1695523811.958334 51 112.1 5.8 -6.65
2309 1695523811.958334 55 22.3 -19.3 -6.43
2310 1695523811.958334 56 8.5 -51.1 -5.1
2311 1695523811.958334 59 52.1 -11.8 -6.61
2312 1695523811.958334 62 39.4 7.4 -6.62
2313 1695523812.160652 3 17.4 31.6 -5.62
2314 1695523812.160652 4 118.9 4.1 -6.66
2315 1695523812.160652 6 166 -7.4 -6.65
2316 1695523812.160652 7 74.4 4.7 -6.66
2317 1695523812.160652 12 27.1 -0.1 -0.13
2318 1695523812.160652 16 13.1 -30.2 -5.82
2319 1695523812.160652 17 113.4 -0.2 -6.64
2320 1695523812.160652 20 104.5 1.4 -6.66
2321 1695523812.160652 21 33.8 -14.2 -6.53
2322 1695523812.160652 22 95.6 -4.1 -6.64
2323 1695523812.160652 27 19.4 18.6 -6.34
2324 1695523812.160652 33 14.3 25.6 -5.95
2325 1695523812.160652 34 92 2.9 -6.68
2326 1695523812.160652 35 30.6 9 -6.56
2327 1695523812.160652 36 119 -1.9 -6.65
2328 1695523812.160652 37 107.2 -0.5 -6.69
2329 1695523812.160652 38 39 -13.4 -6.55
2330 1695523812.160652 39 78.7 -2 -6.67
2331 1695523812.160652 41 25.4 -18 -6.45
2332 1695523812.160652 43 58.5 -9.6 -0.56
2333 1695523812.160652 44 10.2 44.4 -4.77
2334 1695523812.160652 45 10.5 49.6 -5.07
2335 1695523812.160652 46 153 -7.2 -6.67
2336 1695523812.160652 50 140.4 -7.4 -6.67
2337 1695523812.160652 55 20.9 -20.6 -6.37
2338 1695523812.160652 59 49.9 -12.1 -6.6
2339 1695523812.160652 61 160.8 -5.6 -6.67
2340 1695523812.160652 62 38.1 7.9 -6.6
2341 1695523812.362077 3 15.8 35 -5.26
2342 1695523812.362077 4 117.5 4.1 -6.65
2343 1695523812.362077 5 133.4 -5.9 -6.62
2344 1695523812.362077 6 164.8 -7.6 -6.65
2345 1695523812.362077 7 73.2 4.8 -6.65
2346 1695523812.362077 10 37.6 6.7 -6.57
2347 1695523812.362077 11 98.9 2.1 -6.65
2348 1695523812.362077 12 27.2 -0.6 -0.12
2349 1695523812.362077 13 54.5 5.1 -6.61
2350 1695523812.362077 16 11.7 -35.6 -5.71
2351 1695523812.362077 21 31.6 -15 -6.5
2352 1695523812.362077 24 9.4 46.3 -4.86
2353 1695523812.362077 26 145.7 -2.3 -6.62
2354 1695523812.362077 27 17.8 20.6 -6.25
2355 1695523812.362077 32 57.8 -11.9 -6.55
2356 1695523812.362077 34 90.9 3.1 -6.66
2357 1695523812.362077 36 117.6 -2 -6.66
2358 1695523812.362077 37 106 -0.6 -6.67
2359 1695523812.362077 38 37.7 -14.2 -6.54
2360 1695523812.362077 39 77.5 -2.2 -6.67
2361 1695523812.362077 41 23.3 -19.2 -6.39
2362 1695523812.362077 43 58.4 -9.7 -0.54
2363 1695523812.362077 44 9.1 51.1 -4.37
2364 1695523812.362077 46 151.1 -7.1 -6.66
2365 1695523812.362077 47 140.3 -6.1 -6.62
2366 1695523812.362077 50 139.2 -7.4 -6.66
2367 1695523812.362077 55 19 -22.2 -6.33
2368 1695523812.362077 57 120.3 -3.2 -6.63
2369 1695523812.362077 59 48.7 -12.9 -6.58
2370 1695523812.362077 62 29.5 9.8 -6.56
2371 1695523812.568143 2 124.4 -6.6 -6.63
2372 1695523812.568143 3 14.3 40.1 -5.01
2373 1695523812.568143 4 116.2 3.9 -6.65
2374 1695523812.568143 5 131.8 -6.1 -6.62
2375 1695523812.568143 6 163.6 -7.7 -6.64
2376 1695523812.568143 7 71.9 4.9 -6.63
2377 1695523812.568143 10 36 7.2 -6.58
2378 1695523812.568143 11 97.4 1.9 -6.65
2379 1695523812.568143 12 27.2 -0.8 -0.12
2380 1695523812.568143 16 9.9 -42.2 -5.27
2381 1695523812.568143 21 29.4 -16.5 -6.47
2382 1695523812.568143 24 8.5 51.1 -4.81
2383 1695523812.568143 25 84.7 4.4 -6.61
2384 1695523812.568143 27 16.4 24.3 -6.16
2385 1695523812.568143 29 131.8 -1.7 -6.62
2386 1695523812.568143 31 107.6 6.6 -6.62
2387 1695523812.568143 32 56 -11.9 -6.55
2388 1695523812.568143 33 160.2 -6.7 -6.65
2389 1695523812.568143 34 89.6 2.9 -6.66
2390 1695523812.568143 36 116.2 -2 -6.66
2391 1695523812.568143 37 104.8 -0.6 -6.66
2392 1695523812.568143 38 36.4 -14.7 -6.52
2393 1695523812.568143 39 76.3 -2.2 -6.66
2394 1695523812.568143 41 21.5 -21.4 -6.34
2395 1695523812.568143 43 58.3 -9.9 -0.55
2396 1695523812.568143 46 149.3 -7.2 -6.64
2397 1695523812.568143 49 80.1 7.4 -6.62
2398 1695523812.568143 50 138 -7.5 -6.65
2399 1695523812.568143 51 107.6 -5.2 -6.62
2400 1695523812.568143 55 16.9 -24.6 -6.27
2401 1695523812.568143 59 47.3 -12.6 -6.56
2402 1695523812.568143 60 111.1 4.8 -6.68
2403 1695523812.568143 62 28.2 10.6 -6.54
2404 1695523812.769913 0 123.8 -1.4 -6.62
2405 1695523812.769913 1 123.6 -6.4 -6.62
2406 1695523812.769913 3 13.2 45.5 -4.73
2407 1695523812.769913 4 114.8 4 -6.65
2408 1695523812.769913 5 130.5 -6.1 -6.62
2409 1695523812.769913 6 162.4 -7.8 -6.63
2410 1695523812.769913 7 70.5 5.2 -6.63
2411 1695523812.769913 10 34.6 7.8 -6.58
2412 1695523812.769913 11 95.6 1.4 -6.65
2413 1695523812.769913 12 27.2 -0.9 -0.12
2414 1695523812.769913 13 19.6 18 -6.28
2415 1695523812.769913 14 66.7 2.1 -6.63
2416 1695523812.769913 16 8.9 -49.6 -5.32
2417 1695523812.769913 25 83.4 4.6 -6.62
2418 1695523812.769913 26 27.5 -17.4 -6.44
2419 1695523812.769913 27 15.1 28.1 -5.97
2420 1695523812.769913 28 9.8 44 -5.16
2421 1695523812.769913 30 10.5 -34.9 -5.41
2422 1695523812.769913 32 53.8 -12.4 -6.55
2423 1695523812.769913 34 88.4 3 -6.66
2424 1695523812.769913 36 114.9 -2.4 -6.66
2425 1695523812.769913 37 103.5 -0.7 -6.66
2426 1695523812.769913 38 34.7 -15.1 -6.48
2427 1695523812.769913 39 75 -2.5 -6.65
2428 1695523812.769913 41 20 -22.6 -6.28
2429 1695523812.769913 43 58.2 -10.2 -0.55
2430 1695523812.769913 45 142.4 -3.7 -6.62
2431 1695523812.769913 46 148 -7.5 -6.62
2432 1695523812.769913 47 156.2 -4.7 -6.63
2433 1695523812.769913 50 136.7 -7.5 -6.64
2434 1695523812.769913 52 42.1 -30.6 -5.82
2435 1695523812.769913 55 15.1 -27.1 -6.05
2436 1695523812.769913 57 30 -16.6 -6.45
2437 1695523812.769913 59 45.2 -13 -6.55
2438 1695523812.769913 62 27 11.4 -6.52
2439 1695523812.971497 3 12.2 44.4 -4.47
2440 1695523812.971497 5 129.3 -6.2 -6.62
2441 1695523812.971497 6 161.2 -7.9 -6.63
2442 1695523812.971497 7 69.1 5.9 -6.62
2443 1695523812.971497 9 117.4 -4.6 -6.62
2444 1695523812.971497 10 33.4 8.4 -6.57
2445 1695523812.971497 11 94.3 1.4 -6.65
2446 1695523812.971497 12 27.2 -1.4 -0.12
2447 1695523812.971497 14 65.4 1.9 -6.64
2448 1695523812.971497 16 7.9 -51.2 -5.24
2449 1695523812.971497 17 56.2 0.2 -6.59
2450 1695523812.971497 20 16 30.1 -41.34
2451 1695523812.971497 25 82.1 4.5 -6.62
2452 1695523812.971497 26 25.6 -18.5 -6.41
2453 1695523812.971497 27 14 36.9 -5.32
2454 1695523812.971497 31 32 32.4 -5.49
2455 1695523812.971497 32 51.8 -13.4 -6.53
2456 1695523812.971497 34 87.1 3.6 -6.65
2457 1695523812.971497 36 113.6 -2.4 -6.66
2458 1695523812.971497 37 101.8 -0.4 -6.65
2459 1695523812.971497 38 32.8 -15.6 -6.45
2460 1695523812.971497 39 73.9 -2.4 -6.65
2461 1695523812.971497 40 16.2 19.9 -6.13
2462 1695523812.971497 41 18.6 -23.9 -6.27
2463 1695523812.971497 43 58.1 -10.7 -0.55
2464 1695523812.971497 46 146.7 -7.6 -6.62
2465 1695523812.971497 50 135.5 -7.6 -6.63
2466 1695523812.971497 53 9.4 -46.4 -5.27
2467 1695523812.971497 55 13.2 -30.7 -5.65
2468 1695523812.971497 59 43.6 -13.6 -6.53
2469 1695523812.971497 62 25.3 12.6 -6.48
2470 1695523813.172974 3 11.3 43.1 -4.43
2471 1695523813.172974 5 128 -6.5 -6.62
2472 1695523813.172974 6 160 -8.1 -6.63
2473 1695523813.172974 10 31.3 9.3 -6.54
2474 1695523813.172974 11 93 1.6 -6.65
2475 1695523813.172974 12 27.2 -1.5 -0.12
2476 1695523813.172974 14 64.1 2.4 -6.64
2477 1695523813.172974 19 154.9 -5.3 -6.62
2478 1695523813.172974 21 80.3 3.1 -6.62
2479 1695523813.172974 25 80.8 5.1 -6.62
2480 1695523813.172974 26 23.5 -19.7 -6.38
2481 1695523813.172974 27 13.1 43.1 -5.01
2482 1695523813.172974 32 50.3 -13.6 -6.53
2483 1695523813.172974 33 116.6 -4.1 -6.62
2484 1695523813.172974 34 85.9 3.6 -6.64
2485 1695523813.172974 36 112.3 -2.3 -6.66
2486 1695523813.172974 37 99.6 0 -6.65
2487 1695523813.172974 38 30.6 -16.5 -6.43
2488 1695523813.172974 39 72.7 -2.7 -6.65
2489 1695523813.172974 41 16.7 -25.9 -6.2
2490 1695523813.172974 43 58.1 -11.1 -0.55
2491 1695523813.172974 44 139.5 -3.8 -6.62
2492 1695523813.172974 46 145.4 -7.9 -6.61
2493 1695523813.172974 48 148.7 -7.2 -6.61
2494 1695523813.172974 50 134.3 -7.9 -6.63
2495 1695523813.172974 55 11.7 -33.9 -5.5
2496 1695523813.172974 59 42.2 -13.7 -6.52
2497 1695523813.172974 60 155.3 -7.5 -6.62
2498 1695523813.172974 62 24.1 13.5 -6.48
2499 1695523813.376333 3 10 40.4 -4.84
2500 1695523813.376333 4 14 34.3 -5.72
2501 1695523813.376333 5 126.6 -6.3 -6.62
2502 1695523813.376333 6 158.9 -8.1 -6.63
2503 1695523813.376333 10 29.5 10.2 -6.53
2504 1695523813.376333 11 91.5 1.7 -6.65
2505 1695523813.376333 12 27.2 -1.9 -0.15
2506 1695523813.376333 14 62.9 4.4 -6.63
2507 1695523813.376333 16 71.2 3.4 -6.61
2508 1695523813.376333 20 75.4 0.4 -6.63
2509 1695523813.376333 25 79.4 4.8 -6.62
2510 1695523813.376333 26 21.5 -22.2 -6.36
2511 1695523813.376333 27 12.2 48.1 -4.79
2512 1695523813.376333 31 114.9 -4.9 -6.64
2513 1695523813.376333 32 48.8 -13.2 -6.53
2514 1695523813.376333 34 84.6 3.7 -6.64
2515 1695523813.376333 36 110.9 -2.6 -6.66
2516 1695523813.376333 37 98.1 0.1 -6.65
2517 1695523813.376333 38 29 -16.9 -6.45
2518 1695523813.376333 39 71.5 -2.5 -6.64
2519 1695523813.376333 41 14.9 -30.1 -6.11
2520 1695523813.376333 43 58 -11.1 -0.55
2521 1695523813.376333 45 74.8 5.6 -6.63
2522 1695523813.376333 46 144.1 -7.9 -6.61
2523 1695523813.376333 47 66.2 8.7 -6.56
2524 1695523813.376333 50 133 -8.2 -6.63
2525 1695523813.376333 52 53.3 0.6 -6.65
2526 1695523813.376333 53 138.9 -7.1 -6.63
2527 1695523813.376333 55 10.3 -40.2 -5.28
2528 1695523813.376333 58 71.2 0.3 -6.61
2529 1695523813.376333 59 40.5 -14.2 -6.52
2530 1695523813.376333 62 22.4 15 -6.44
2531 1695523813.586003 0 165 -7.3 -6.63
2532 1695523813.586003 3 9.1 45.9 -5.17
2533 1695523813.586003 4 12.9 40.4 -5.16
2534 1695523813.586003 5 125.3 -6.2 -6.62
2535 1695523813.586003 6 157.6 -7.9 -6.63
2536 1695523813.586003 7 176 -5.7 -6.65
2537 1695523813.586003 10 28.1 11 -6.52
2538 1695523813.586003 11 90.3 1.8 -6.65
2539 1695523813.586003 12 27.2 -1.4 -0.15
2540 1695523813.586003 14 61.7 6.3 -6.61
2541 1695523813.586003 18 15.2 -28 -6.06
2542 1695523813.586003 19 137.6 -3.1 -6.64
2543 1695523813.586003 21 174.9 -9.6 -6.62
2544 1695523813.586003 24 85.6 -4.2 -6.64
2545 1695523813.586003 25 77.4 5.1 -6.66
2546 1695523813.586003 26 19.8 -23.1 -6.34
2547 1695523813.586003 32 46.8 -13.8 -6.53
2548 1695523813.586003 33 153.6 -7.6 -6.57
2549 1695523813.586003 34 83.4 3.4 -6.64
2550 1695523813.586003 36 109.6 -2.9 -6.65
2551 1695523813.586003 37 96.9 0.2 -6.65
2552 1695523813.586003 38 27.5 -18.3 -6.45
2553 1695523813.586003 39 70.3 -2.2 -6.64
2554 1695523813.586003 40 132.3 -6 -6.65
2555 1695523813.586003 41 9.5 -47.1 -5.48
2556 1695523813.586003 43 57.8 -11.1 -0.55
2557 1695523813.586003 46 142.8 -7.7 -6.62
2558 1695523813.586003 48 13.3 -27.4 -77.54
2559 1695523813.586003 50 131.8 -8.2 -6.63
2560 1695523813.586003 59 38.6 -14.6 -6.52
2561 1695523813.586003 60 14.5 35.6 -41.05
2562 1695523813.586003 61 153.7 -5.7 -6.66
2563 1695523813.586003 62 20.5 17 -6.38
2564 1695523813.586003 63 70.3 5.2 -6.61
